trial,rmse,max_abs_err
0,0.013448688354307419,0.04209816845904513
1,0.018987238406196302,0.05782288845904526
2,0.015973232781679267,0.04934241845904497
3,0.026870663931783178,0.07961070845904494
4,0.02327816839506406,0.06973550845904519
5,0.02725209044714912,0.08065893845904526
6,0.01653890407978487,0.050943208459044875
7,0.0375164814650917,0.10861697845904494
8,0.010731283328127911,0.034037938459045236
9,0.004963271158304377,0.009270688459045218
10,0.0076423010092150035,0.024019488459045224
11,0.020784657871362366,0.06283439845904493
12,0.012133581034219477,0.038239868459045034
13,0.016540498721007685,0.05094055845904499
14,0.005796719059082565,0.009709619299871797
15,0.01144263675750298,0.036181178459044894
16,0.016056001432688836,0.04956830845904525
17,0.013780373503616432,0.04304193845904525
18,0.01041212135986908,0.03305604845904497
19,0.02334868952756388,0.0699288384590453
20,0.015222271738493862,0.04719452845904515
21,0.010917515333588075,0.0345909984590449
22,0.02182191181160065,0.06570957845904513
23,0.01290504032901796,0.04049032845904499
24,0.026682756712775292,0.07909531845904505
25,0.0063774406247883685,0.019155318459044945
26,0.009821219980068867,0.031209768459044884
27,0.01679909725552042,0.05167811845904513
28,0.020395454718377053,0.06174833845904493
29,0.031336621014689016,0.09181898845904524
30,0.006162181001229689,0.018225078459045196
31,0.03857269660469779,0.11147778845904499
32,0.02387409367196776,0.0713725984590452
33,0.011076648681677416,0.035061128459044966
34,0.007725357927805194,0.024364808459044873
35,0.010019360261411647,0.017389881507531957
36,0.01099469747109739,0.034823198459045024
37,0.022873601824817076,0.06861363845904522
38,0.0056481924946399295,0.009465269299871792
39,0.021165412365757173,0.06388379845904524
40,0.04106704598381434,0.1182325284590453
41,0.019884924752440795,0.060332378459045266
42,0.0063129738885625885,0.018867978459045087
43,0.004981317561239421,0.009688548459044988
44,0.011584851987067112,0.03660375845904529
45,0.004945606607435003,0.008399838459045128
46,0.02762652828413007,0.08168012845904515
47,0.031873919362896935,0.09328338845904494
48,0.013174720577913008,0.041283708459045165
49,0.01645621725383811,0.05070533845904501
